timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-10-16,81.0500,81.0500,80.9800,81.0100,81.0100,90721,0.0000,1.0000
2019-10-15,81.0400,81.0500,80.9200,80.9300,80.9300,1360513,0.0000,1.0000
2019-10-14,81.0100,81.0400,80.9800,81.0100,81.0100,765000,0.0000,1.0000
2019-10-11,81.0000,81.0100,80.9100,80.9500,80.9500,1550000,0.0000,1.0000
2019-10-10,81.2100,81.2100,81.0800,81.0900,81.0900,1259300,0.0000,1.0000
2019-10-09,81.2500,81.2800,81.1700,81.2200,81.2200,1034400,0.0000,1.0000
2019-10-08,81.2700,81.3100,81.2000,81.2600,81.2600,1114400,0.0000,1.0000
2019-10-07,81.2500,81.2600,81.1900,81.2000,81.2000,1160100,0.0000,1.0000
2019-10-04,81.2600,81.3300,81.2300,81.3000,81.3000,884700,0.0000,1.0000
2019-10-03,81.1600,81.3100,81.1400,81.2700,81.2700,1161100,0.0000,1.0000
2019-10-02,81.0200,81.1200,81.0000,81.1000,81.1000,2385500,0.0000,1.0000
2019-10-01,80.8300,81.0400,80.8100,80.9600,80.9600,2957000,0.1890,1.0000
2019-09-30,80.9700,81.0700,80.9600,81.0500,80.8610,1368100,0.0000,1.0000
2019-09-27,80.9600,81.0400,80.9600,81.0300,80.8410,883600,0.0000,1.0000
2019-09-26,81.0000,81.0200,80.9500,80.9700,80.7812,1111600,0.0000,1.0000
2019-09-25,81.0400,81.0400,80.8800,80.9400,80.7513,1464100,0.0000,1.0000
2019-09-24,80.9700,81.0900,80.9200,81.0500,80.8610,1047000,0.0000,1.0000
2019-09-23,80.9400,81.0000,80.9100,80.9200,80.7313,2661300,0.0000,1.0000
2019-09-20,80.8000,80.9100,80.7700,80.9100,80.7213,1085100,0.0000,1.0000
2019-09-19,80.8100,80.8100,80.7500,80.7600,80.5717,1391800,0.0000,1.0000
2019-09-18,80.8000,80.8700,80.6700,80.7200,80.5318,1193000,0.0000,1.0000
2019-09-17,80.6200,80.7300,80.6100,80.6900,80.5018,1171200,0.0000,1.0000
2019-09-16,80.6000,80.6400,80.5600,80.6300,80.4420,911000,0.0000,1.0000
2019-09-13,80.6400,80.6400,80.5100,80.5300,80.3422,1053500,0.0000,1.0000
2019-09-12,80.8100,80.8200,80.6600,80.6700,80.4819,1170600,0.0000,1.0000
2019-09-11,80.7500,80.7900,80.7200,80.7300,80.5417,1085600,0.0000,1.0000
2019-09-10,80.9000,80.9000,80.7300,80.7700,80.5816,1141700,0.0000,1.0000
2019-09-09,80.9600,80.9800,80.9200,80.9400,80.7513,997400,0.0000,1.0000
2019-09-06,81.0500,81.0700,81.0000,81.0600,80.8710,1353300,0.0000,1.0000
2019-09-05,81.1200,81.1400,80.9400,81.0000,80.8111,1238500,0.0000,1.0000
2019-09-04,81.1500,81.2300,81.1300,81.2100,81.0206,1503000,0.0000,1.0000
2019-09-03,81.0600,81.1800,81.0200,81.1100,80.9209,2032100,0.1960,1.0000
2019-08-30,81.2400,81.3000,81.2000,81.2800,80.8949,1770000,0.0000,1.0000
2019-08-29,81.2800,81.2900,81.2100,81.2200,80.8352,1401300,0.0000,1.0000
2019-08-28,81.2600,81.3100,81.2600,81.2900,80.9049,1530300,0.0000,1.0000
2019-08-27,81.1900,81.2600,81.1700,81.2500,80.8651,865600,0.0000,1.0000
2019-08-26,81.1800,81.2200,81.1200,81.1800,80.7954,878100,0.0000,1.0000
2019-08-23,81.0800,81.2200,81.0100,81.1700,80.7854,1192300,0.0000,1.0000
2019-08-22,81.0800,81.1200,81.0300,81.0300,80.6461,1092800,0.0000,1.0000
2019-08-21,81.0900,81.1300,81.0500,81.0800,80.6959,1022100,0.0000,1.0000
2019-08-20,81.0900,81.1200,81.0900,81.1200,80.7357,1088800,0.0000,1.0000
2019-08-19,81.0300,81.0400,80.9800,81.0000,80.6162,834100,0.0000,1.0000
2019-08-16,80.9900,81.0700,80.9500,81.0700,80.6859,1679100,0.0000,1.0000
2019-08-15,80.8900,81.0400,80.8800,81.0400,80.6561,1635700,0.0000,1.0000
2019-08-14,80.8700,80.9100,80.8200,80.8400,80.4570,1058800,0.0000,1.0000
2019-08-13,80.8800,80.9200,80.7800,80.8000,80.4172,757200,0.0000,1.0000
2019-08-12,80.8600,80.9400,80.8500,80.9300,80.5466,997200,0.0000,1.0000
2019-08-09,80.8900,80.8900,80.7500,80.8100,80.4271,1393100,0.0000,1.0000
2019-08-08,80.8400,80.9000,80.8010,80.8500,80.4669,1289600,0.0000,1.0000
2019-08-07,80.9800,81.0170,80.8540,80.8800,80.4968,1153700,0.0000,1.0000
2019-08-06,80.8600,80.8800,80.7800,80.8800,80.4968,2091300,0.0000,1.0000
2019-08-05,80.7700,80.8500,80.7200,80.8400,80.4570,2587100,0.0000,1.0000
2019-08-02,80.6500,80.6800,80.6000,80.6500,80.2679,984500,0.0000,1.0000
2019-08-01,80.4400,80.6900,80.4300,80.6700,80.2878,1349400,0.2070,1.0000
2019-07-31,80.6400,80.7000,80.4700,80.5900,80.0022,1231500,0.0000,1.0000
2019-07-30,80.6256,80.6300,80.5600,80.5900,80.0022,842200,0.0000,1.0000
2019-07-29,80.6400,80.6500,80.6200,80.6300,80.0419,924500,0.0000,1.0000
2019-07-26,80.6100,80.6300,80.5521,80.6300,80.0419,1424900,0.0000,1.0000
2019-07-25,80.6500,80.6500,80.5500,80.6000,80.0121,1117100,0.0000,1.0000
2019-07-24,80.6593,80.6900,80.6300,80.6500,80.0617,1299100,0.0000,1.0000
2019-07-23,80.6100,80.6300,80.5900,80.6300,80.0419,1175400,0.0000,1.0000
2019-07-22,80.6200,80.6400,80.6100,80.6300,80.0419,862800,0.0000,1.0000
2019-07-19,80.6000,80.6100,80.5300,80.5800,79.9922,1713800,0.0000,1.0000
2019-07-18,80.5100,80.6700,80.5000,80.6500,80.0617,1559700,0.0000,1.0000
2019-07-17,80.4600,80.5400,80.4300,80.5400,79.9525,1884800,0.0000,1.0000
2019-07-16,80.4200,80.4327,80.3500,80.3900,79.8036,1053800,0.0000,1.0000
2019-07-15,80.4300,80.5000,80.4300,80.5000,79.9128,825900,0.0000,1.0000
2019-07-12,80.4100,80.4600,80.3900,80.4400,79.8533,1185900,0.0000,1.0000
2019-07-11,80.4600,80.4800,80.3900,80.3900,79.8036,1090200,0.0000,1.0000
2019-07-10,80.4200,80.4800,80.3900,80.4500,79.8632,769100,0.0000,1.0000
2019-07-09,80.3700,80.3800,80.3200,80.3300,79.7441,952800,0.0000,1.0000
2019-07-08,80.4200,80.4400,80.3300,80.3600,79.7738,1031500,0.0000,1.0000
2019-07-05,80.4800,80.4800,80.3450,80.4300,79.8433,1054300,0.0000,1.0000
2019-07-03,80.6000,80.6200,80.5800,80.6000,80.0121,914900,0.0000,1.0000
2019-07-02,80.5300,80.6000,80.5119,80.5800,79.9922,1602000,0.0000,1.0000
2019-07-01,80.5500,80.5800,80.4400,80.5300,79.9426,4978400,0.1920,1.0000
2019-06-28,80.6600,80.7100,80.6400,80.6800,79.9009,1470300,0.0000,1.0000
