timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,144.8500,146.9200,143.9100,146.4600,146.4600,1183572,0.0000,1.0000
2019-06-27,143.1600,144.8400,142.7700,144.6200,144.6200,888462,0.0000,1.0000
2019-06-26,144.3400,145.6000,142.6100,142.6500,142.6500,680744,0.0000,1.0000
2019-06-25,145.9600,146.8800,143.9400,144.3300,144.3300,692398,0.0000,1.0000
2019-06-24,145.1700,145.8700,144.6000,145.4100,145.4100,737890,0.0000,1.0000
2019-06-21,146.1300,147.4400,141.7200,145.0700,145.0700,1768218,0.0000,1.0000
2019-06-20,146.8600,147.3050,145.0550,146.0100,146.0100,871262,0.0000,1.0000
2019-06-19,144.4400,145.6650,144.0800,145.3900,145.3900,643320,0.0000,1.0000
2019-06-18,146.1000,146.4700,144.4000,144.5100,144.5100,937104,0.0000,1.0000
2019-06-17,146.0900,146.7500,144.9000,145.0300,145.0300,413181,0.0000,1.0000
2019-06-14,145.4700,146.1800,144.8800,145.8300,145.8300,896067,0.0000,1.0000
2019-06-13,145.9700,146.1900,144.9000,145.3400,145.3400,361462,0.2500,1.0000
2019-06-12,145.7500,146.5300,145.6500,145.9700,145.7193,692667,0.0000,1.0000
2019-06-11,147.5700,147.9400,144.9700,145.5500,145.3001,506727,0.0000,1.0000
2019-06-10,147.1900,147.5000,146.3100,146.8700,146.6178,714339,0.0000,1.0000
2019-06-07,145.0000,147.0300,144.9900,146.4700,146.2185,912283,0.0000,1.0000
2019-06-06,144.5000,144.8200,143.4200,144.7400,144.4915,1020610,0.0000,1.0000
2019-06-05,142.2300,144.4250,142.2300,144.3500,144.1021,1633313,0.0000,1.0000
2019-06-04,141.2900,141.9100,139.6800,141.8400,141.5964,1751207,0.0000,1.0000
2019-06-03,140.4500,141.4600,139.4100,140.2300,139.9892,1393957,0.0000,1.0000
2019-05-31,139.2600,140.3700,139.2600,140.0000,139.7596,1185397,0.0000,1.0000
2019-05-30,140.4000,141.3000,139.5400,140.5200,140.2787,1982151,0.0000,1.0000
2019-05-29,140.9000,141.5500,139.1900,139.6700,139.4302,978770,0.0000,1.0000
2019-05-28,142.6900,144.3800,141.7100,142.0200,141.7761,1023264,0.0000,1.0000
2019-05-24,143.0600,143.5400,141.9600,142.2100,141.9658,407002,0.0000,1.0000
2019-05-23,142.5700,143.5150,141.7100,142.1600,141.9159,497331,0.0000,1.0000
2019-05-22,143.1600,144.4800,142.9900,143.8600,143.6130,408028,0.0000,1.0000
2019-05-21,142.1300,143.3400,141.7800,143.1900,142.9441,606839,0.0000,1.0000
2019-05-20,140.6300,142.8000,140.6300,141.3000,141.0574,532474,0.0000,1.0000
2019-05-17,141.2900,142.9300,141.2400,141.9700,141.7262,656325,0.0000,1.0000
2019-05-16,140.9600,142.9300,140.7300,142.1300,141.8859,838249,0.0000,1.0000
2019-05-15,138.5300,141.5200,138.5000,140.7800,140.5383,707260,0.0000,1.0000
2019-05-14,138.6100,140.2200,138.6100,139.3200,139.0808,1144703,0.0000,1.0000
2019-05-13,138.6700,138.9000,137.7400,138.4800,138.2422,1130867,0.0000,1.0000
2019-05-10,140.0000,140.8400,137.8400,140.6800,140.4384,991194,0.0000,1.0000
2019-05-09,139.4400,141.0900,138.9400,140.5000,140.2587,899627,0.0000,1.0000
2019-05-08,140.5000,141.6100,139.7300,140.5600,140.3186,676323,0.0000,1.0000
2019-05-07,142.2000,142.5300,139.6900,140.5000,140.2587,881746,0.0000,1.0000
2019-05-06,141.2100,143.6700,141.1300,143.3900,143.1438,509622,0.0000,1.0000
2019-05-03,140.8400,143.2700,140.8300,143.2100,142.9641,514036,0.0000,1.0000
2019-05-02,139.5500,140.8900,139.1800,140.3500,140.1090,690060,0.0000,1.0000
2019-05-01,140.5600,142.4700,137.9067,139.8800,139.6398,732445,0.0000,1.0000
2019-04-30,140.6100,141.3000,140.0600,141.1400,140.8976,966081,0.0000,1.0000
2019-04-29,140.1400,140.4500,139.6000,140.3700,140.1290,494335,0.0000,1.0000
2019-04-26,139.1400,140.0050,138.7600,139.8700,139.6298,440307,0.0000,1.0000
2019-04-25,139.0900,139.4800,138.0500,138.7900,138.5517,625962,0.0000,1.0000
2019-04-24,139.4700,140.4100,139.0900,139.5000,139.2605,502875,0.0000,1.0000
2019-04-23,137.9700,139.5200,136.6900,139.4700,139.2305,518771,0.0000,1.0000
2019-04-22,137.6000,137.9150,137.0000,137.6400,137.4037,550649,0.0000,1.0000
2019-04-18,137.3400,138.4700,136.3400,137.9900,137.7531,373852,0.0000,1.0000
2019-04-17,137.2000,137.2000,136.1700,136.9400,136.7049,665788,0.0000,1.0000
2019-04-16,138.6400,138.9300,136.3800,136.5400,136.3055,702053,0.0000,1.0000
2019-04-15,136.9000,137.9200,136.1816,137.8500,137.6133,446459,0.0000,1.0000
2019-04-12,136.2900,137.0000,135.5100,136.9800,136.7448,485192,0.0000,1.0000
2019-04-11,134.9600,135.8400,134.3050,135.7900,135.5568,554215,0.0000,1.0000
2019-04-10,135.2100,135.5600,134.4600,134.7600,134.5286,867635,0.0000,1.0000
2019-04-09,134.9500,135.5125,134.4900,135.1500,134.9179,368851,0.0000,1.0000
2019-04-08,134.8800,135.7700,134.2500,135.3800,135.1475,659554,0.0000,1.0000
2019-04-05,135.8500,136.6900,135.1700,135.5200,135.2873,862518,0.0000,1.0000
2019-04-04,136.3200,136.7000,135.3700,135.7100,135.4770,492805,0.0000,1.0000
2019-04-03,135.4300,136.9900,135.0400,136.3100,136.0759,1238747,0.0000,1.0000
2019-04-02,134.2200,135.0300,133.5700,134.9100,134.6783,636929,0.0000,1.0000
2019-04-01,133.6700,134.4200,132.7200,134.2400,134.0095,775704,0.0000,1.0000
2019-03-29,133.0000,133.2800,132.3600,133.0000,132.7716,979875,0.0000,1.0000
2019-03-28,132.0200,133.3900,130.9500,132.8100,132.5819,1478016,0.0000,1.0000
