timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-10-16,168.0000,168.0200,158.5600,160.0850,160.0850,1797648,0.0000,1.0000
2019-10-15,180.4500,185.6000,180.3000,180.9600,180.9600,2688701,0.0000,1.0000
2019-10-14,179.1000,181.7200,178.2400,180.2400,180.2400,888100,0.0000,1.0000
2019-10-11,180.1600,183.0900,177.7200,180.4400,180.4400,2663700,0.0000,1.0000
2019-10-10,171.8700,175.1900,171.3700,174.3200,174.3200,789900,0.0000,1.0000
2019-10-09,171.8800,173.8500,170.7000,173.2900,173.2900,930900,0.0000,1.0000
2019-10-08,176.4000,176.5500,169.3000,169.4900,169.4900,2328500,0.0000,1.0000
2019-10-07,171.4600,179.1700,171.4600,177.8400,177.8400,2011700,0.0000,1.0000
2019-10-04,173.1500,175.4600,170.1000,173.8800,173.8800,1617100,0.0000,1.0000
2019-10-03,165.9900,172.3200,163.7500,172.0900,172.0900,1798300,0.0000,1.0000
2019-10-02,166.9200,167.8700,164.6400,165.8100,165.8100,1778900,0.0000,1.0000
2019-10-01,170.0700,171.4200,168.5400,168.7400,168.7400,1372800,0.0000,1.0000
2019-09-30,169.0000,171.0800,167.7200,169.9600,169.9600,1397000,0.0000,1.0000
2019-09-27,174.7900,174.7900,165.0700,168.6500,168.6500,2231200,0.0000,1.0000
2019-09-26,170.0000,175.9200,169.8000,174.4400,174.4400,3050200,0.0000,1.0000
2019-09-25,167.5200,170.1500,163.2600,169.9800,169.9800,2421400,0.0000,1.0000
2019-09-24,175.0100,176.7500,166.6000,167.5100,167.5100,2126600,0.0000,1.0000
2019-09-23,174.9300,175.6300,173.2700,174.4500,174.4500,1311900,0.0000,1.0000
2019-09-20,172.9400,175.5200,172.1900,174.9700,174.9700,2550800,0.0000,1.0000
2019-09-19,175.5000,176.8100,172.0800,172.7400,172.7400,1622100,0.0000,1.0000
2019-09-18,173.9300,176.4800,172.2200,175.5100,175.5100,1899000,0.0000,1.0000
2019-09-17,173.0100,175.5600,172.5000,175.0700,175.0700,1453800,0.0000,1.0000
2019-09-16,166.2400,174.1000,165.8300,173.0000,173.0000,1971600,0.0000,1.0000
2019-09-13,170.2200,171.9800,167.1400,167.5900,167.5900,1615200,0.0000,1.0000
2019-09-12,173.8100,174.3900,170.1900,170.3800,170.3800,1694500,0.0000,1.0000
2019-09-11,173.8800,175.3200,171.1500,172.5600,172.5600,1821900,0.0000,1.0000
2019-09-10,168.5000,174.0200,166.5700,173.8900,173.8900,2837500,0.0000,1.0000
2019-09-09,172.8700,173.5000,166.0000,171.0400,171.0400,3489000,0.0000,1.0000
2019-09-06,176.0800,177.5000,172.2100,172.3000,172.3000,1435200,0.0000,1.0000
2019-09-05,176.0000,177.8300,173.5100,175.9000,175.9000,1957300,0.0000,1.0000
2019-09-04,176.4200,177.9200,172.9500,173.6700,173.6700,2672600,0.0000,1.0000
2019-09-03,174.4600,178.2200,173.6200,174.9800,174.9800,3520600,0.0000,1.0000
2019-08-30,184.0000,190.3100,173.2000,177.2800,177.2800,8138100,0.0000,1.0000
2019-08-29,187.3600,189.2100,184.5100,187.6500,187.6500,2857300,0.0000,1.0000
2019-08-28,186.6600,186.6600,182.2800,185.3100,185.3100,1714400,0.0000,1.0000
2019-08-27,194.2500,196.4300,186.0900,188.3500,188.3500,2681900,0.0000,1.0000
2019-08-26,193.5000,193.9800,189.5200,193.8600,193.8600,1349800,0.0000,1.0000
2019-08-23,196.5500,199.4200,191.5600,192.1300,192.1300,2377600,0.0000,1.0000
2019-08-22,191.7000,194.1600,189.1100,193.3700,193.3700,1216800,0.0000,1.0000
2019-08-21,188.1800,193.1200,187.9000,190.9200,190.9200,1370700,0.0000,1.0000
2019-08-20,187.3200,187.7300,184.1100,186.1500,186.1500,1099100,0.0000,1.0000
