timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,59.3300,59.8400,59.1100,59.4900,59.4900,3793321,0.0000,1.0000
2019-06-27,59.4500,59.7050,59.0050,59.2800,59.2800,2977967,0.0000,1.0000
2019-06-26,60.7200,61.1000,59.3800,59.4500,59.4500,6044453,0.0000,1.0000
2019-06-25,61.3200,61.4100,60.7300,60.9900,60.9900,3847658,0.0000,1.0000
2019-06-24,61.9700,61.9700,61.1400,61.2700,61.2700,3051460,0.0000,1.0000
2019-06-21,61.2700,61.6300,60.6400,61.5400,61.5400,5244193,0.0000,1.0000
2019-06-20,61.1300,61.5200,60.6200,61.3100,61.3100,3489738,0.0000,1.0000
2019-06-19,59.7700,61.0000,59.7700,60.8100,60.8100,3489740,0.0000,1.0000
2019-06-18,60.2900,60.4000,59.6150,60.0800,60.0800,4299666,0.0000,1.0000
2019-06-17,60.2200,60.3300,59.4800,59.8800,59.8800,2721502,0.0000,1.0000
2019-06-14,59.5200,60.1600,59.3300,60.0300,60.0300,3163068,0.0000,1.0000
2019-06-13,59.2900,59.5200,58.9500,59.4500,59.4500,2787672,0.4050,1.0000
2019-06-12,58.9800,59.6300,58.6900,59.5200,59.1173,1869969,0.0000,1.0000
2019-06-11,59.2000,59.3300,58.3600,58.6900,58.2929,1832053,0.0000,1.0000
2019-06-10,59.3600,59.4100,58.8300,59.2600,58.8590,2051204,0.0000,1.0000
2019-06-07,60.1200,60.5600,59.3800,59.4300,59.0279,2857587,0.0000,1.0000
2019-06-06,59.4700,59.8850,59.2400,59.8000,59.3954,1642158,0.0000,1.0000
2019-06-05,57.9800,59.4600,57.7700,59.3200,58.9186,3101547,0.0000,1.0000
2019-06-04,57.8700,57.9680,56.3700,57.7800,57.3890,2441793,0.0000,1.0000
2019-06-03,57.6500,58.0300,57.1100,57.9500,57.5579,3374650,0.0000,1.0000
2019-05-31,57.6000,57.7300,57.1000,57.3400,56.9520,3822568,0.0000,1.0000
2019-05-30,57.2900,57.6000,57.1500,57.3600,56.9719,2131691,0.0000,1.0000
2019-05-29,58.1500,58.1900,57.0450,57.2000,56.8130,2695435,0.0000,1.0000
2019-05-28,59.1400,59.2000,57.9300,58.0300,57.6373,4850419,0.0000,1.0000
2019-05-24,59.1500,59.6200,58.9400,58.9900,58.5909,1744843,0.0000,1.0000
