timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-10-16,69.7000,69.9499,67.2000,67.9000,67.9000,791507,0.0000,1.0000
2019-10-15,68.7600,71.2700,68.3800,71.1100,71.1100,10409548,0.0000,1.0000
2019-10-14,70.4600,71.2400,69.5500,70.8000,70.8000,2218100,0.0000,1.0000
2019-10-11,71.3700,72.8900,70.9020,71.3500,71.3500,2391800,0.0000,1.0000
2019-10-10,72.8600,73.7800,71.0100,71.0100,71.0100,2282200,0.0000,1.0000
2019-10-09,74.2200,75.0600,72.7500,72.8600,72.8600,1490100,0.0000,1.0000
2019-10-08,76.0100,76.3540,72.5800,73.5900,73.5900,3156600,0.0000,1.0000
2019-10-07,76.9900,77.4300,75.0000,76.9900,76.9900,1432200,0.0000,1.0000
2019-10-04,77.0000,77.7830,75.2800,76.5300,76.5300,1799500,0.0000,1.0000
2019-10-03,73.9000,78.4900,73.3900,76.8300,76.8300,2605800,0.0000,1.0000
2019-10-02,74.5000,75.7800,73.6600,73.8500,73.8500,1388700,0.0000,1.0000
2019-10-01,76.4300,77.4900,75.2100,75.8100,75.8100,1378100,0.0000,1.0000
2019-09-30,76.1300,77.0000,74.2900,76.2000,76.2000,1356500,0.0000,1.0000
2019-09-27,79.6900,79.8250,75.0900,76.0400,76.0400,2347400,0.0000,1.0000
2019-09-26,79.2500,80.6200,78.6150,79.7500,79.7500,920000,0.0000,1.0000
2019-09-25,79.1200,79.9900,76.0800,79.6000,79.6000,1924100,0.0000,1.0000
2019-09-24,82.4300,82.9300,79.4600,80.0200,80.0200,2145400,0.0000,1.0000
2019-09-23,82.2900,83.6000,81.8000,82.6200,82.6200,677000,0.0000,1.0000
2019-09-20,85.0000,85.3500,81.5000,82.6300,82.6300,2050100,0.0000,1.0000
2019-09-19,85.2000,85.3500,83.2500,84.6200,84.6200,1266600,0.0000,1.0000
2019-09-18,84.4000,86.0000,83.5000,84.5500,84.5500,1835400,0.0000,1.0000
2019-09-17,81.4900,84.8200,79.5300,84.6400,84.6400,2539900,0.0000,1.0000
2019-09-16,78.5000,80.9900,78.2600,80.6700,80.6700,1630100,0.0000,1.0000
2019-09-13,81.5700,82.4760,78.2700,78.8500,78.8500,1416800,0.0000,1.0000
2019-09-12,81.4500,82.6500,79.9000,81.5300,81.5300,1955100,0.0000,1.0000
2019-09-11,80.0000,81.8600,78.5000,80.7100,80.7100,2013600,0.0000,1.0000
2019-09-10,77.0000,81.2210,76.8100,80.3500,80.3500,2813200,0.0000,1.0000
2019-09-09,85.7500,85.9400,77.2000,78.6500,78.6500,6713800,0.0000,1.0000
2019-09-06,92.0000,96.5000,84.8600,85.4100,85.4100,7289700,0.0000,1.0000
2019-09-05,94.2400,94.3800,88.5100,92.6900,92.6900,4991800,0.0000,1.0000
2019-09-04,93.9500,96.0000,93.1800,93.5300,93.5300,2400700,0.0000,1.0000
2019-09-03,91.5000,94.2400,90.7500,92.4600,92.4600,1538900,0.0000,1.0000
2019-08-30,91.8200,92.4200,89.0200,91.6700,91.6700,1186100,0.0000,1.0000
2019-08-29,91.5000,92.6800,90.7000,90.8700,90.8700,851800,0.0000,1.0000
2019-08-28,91.1600,91.3800,88.7110,90.1600,90.1600,1148300,0.0000,1.0000
2019-08-27,92.6000,93.6900,90.4400,91.7300,91.7300,825800,0.0000,1.0000
2019-08-26,92.3300,93.5000,91.4500,91.7600,91.7600,697400,0.0000,1.0000
2019-08-23,93.1400,94.1300,90.4100,91.6300,91.6300,1368400,0.0000,1.0000
2019-08-22,93.4800,95.5000,91.5700,93.8800,93.8800,883000,0.0000,1.0000
2019-08-21,92.8600,94.1810,92.3540,93.0100,93.0100,760000,0.0000,1.0000
2019-08-20,93.0000,93.5700,91.1400,91.4100,91.4100,746100,0.0000,1.0000
2019-08-19,94.1800,96.2000,92.8900,93.1700,93.1700,1226000,0.0000,1.0000
2019-08-16,92.1200,95.0000,92.0800,92.5300,92.5300,1259300,0.0000,1.0000
2019-08-15,92.7700,93.4400,89.6900,90.6400,90.6400,1079800,0.0000,1.0000
2019-08-14,93.2000,94.5220,89.8900,92.6500,92.6500,1265700,0.0000,1.0000
2019-08-13,92.0600,96.2230,92.0600,95.4500,95.4500,1167200,0.0000,1.0000
2019-08-12,93.0500,94.1800,91.1100,92.1600,92.1600,779300,0.0000,1.0000
2019-08-09,94.7900,95.4900,93.3100,94.2000,94.2000,800500,0.0000,1.0000
2019-08-08,93.5701,95.8400,93.0200,95.7700,95.7700,925600,0.0000,1.0000
2019-08-07,89.0200,93.1600,88.0202,92.4500,92.4500,996100,0.0000,1.0000
2019-08-06,91.5000,92.2900,88.1000,90.4300,90.4300,1028700,0.0000,1.0000
2019-08-05,90.7000,91.1900,87.2900,89.6900,89.6900,1774400,0.0000,1.0000
2019-08-02,94.9200,96.0000,92.5732,93.6600,93.6600,1117100,0.0000,1.0000
2019-08-01,95.7498,98.6600,93.8000,95.1000,95.1000,1530400,0.0000,1.0000
2019-07-31,96.4300,97.5000,93.5000,95.5100,95.5100,1514700,0.0000,1.0000
2019-07-30,95.1900,99.3500,94.0300,95.4900,95.4900,1635500,0.0000,1.0000
2019-07-29,102.6000,102.9980,92.1000,96.4700,96.4700,4230300,0.0000,1.0000
2019-07-26,97.9500,104.4900,97.8300,102.2000,102.2000,3040700,0.0000,1.0000
2019-07-25,95.8400,99.6000,95.7500,97.1100,97.1100,1870300,0.0000,1.0000
2019-07-24,97.1200,97.8800,94.6850,95.9400,95.9400,1283700,0.0000,1.0000
2019-07-23,97.5000,98.1514,93.5200,97.3900,97.3900,2241700,0.0000,1.0000
2019-07-22,94.1900,97.4650,93.5050,96.6700,96.6700,1483000,0.0000,1.0000
2019-07-19,97.1500,97.7900,92.8800,93.3800,93.3800,1747700,0.0000,1.0000
2019-07-18,99.2400,99.5000,95.0160,95.1900,95.1900,2035600,0.0000,1.0000
2019-07-17,97.6240,101.9870,97.5400,99.7300,99.7300,2314100,0.0000,1.0000
2019-07-16,100.1400,100.5000,96.5000,97.1000,97.1000,2120100,0.0000,1.0000
2019-07-15,94.0056,100.6500,93.7800,99.8000,99.8000,3835600,0.0000,1.0000
2019-07-12,93.0100,94.9300,91.3700,93.3000,93.3000,2689700,0.0000,1.0000
2019-07-11,92.9000,93.2000,90.4520,91.4000,91.4000,1784600,0.0000,1.0000
2019-07-10,91.7600,93.4464,91.5500,92.7200,92.7200,2059300,0.0000,1.0000
2019-07-09,90.2700,91.2700,89.1000,90.9300,90.9300,1557400,0.0000,1.0000
2019-07-08,91.4400,92.7900,89.8900,90.7600,90.7600,1793300,0.0000,1.0000
2019-07-05,90.1420,91.9700,88.0000,91.8800,91.8800,2582700,0.0000,1.0000
2019-07-03,85.4500,90.6000,84.5100,90.4500,90.4500,2706100,0.0000,1.0000
2019-07-02,86.2700,86.8500,84.0000,85.1300,85.1300,1866000,0.0000,1.0000
